timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,actual_timestamps
0.0,0.0,-0.026932794342353,0.0,0.0,up,down,down,down,1.906
0.016000000000000014,6.892685178709959e-05,-0.0043079282366909,3.517736842995403e-05,2.8141894739997127e-07,up,down,down,down,1.922
0.03200000000000003,0.00012115659917100001,-0.0032643592114967,3.517736842995403e-05,2.8141894739997127e-07,up,down,down,down,1.938
0.04700000000000015,0.0004015941332173988,-0.0186958356030921,3.517736842995403e-05,2.8141894739997127e-07,up,down,down,down,1.953
0.06300000000000017,0.0008834149795084994,-0.0301138028931946,2.734224461670154e-05,7.815758517999922e-07,up,down,down,down,1.969
0.07900000000000018,0.0018978278518506989,-0.0634008045213851,3.517736842995403e-05,1.2817327561999588e-06,up,down,down,down,1.985
0.09400000000000008,0.0028785802283302995,-0.0653834917653033,3.517736842995403e-05,1.2817327561999588e-06,up,down,down,down,2.0
0.1100000000000001,0.0022777873895520996,0.0375495524236324,3.517736842995403e-05,1.2817327561999588e-06,up,down,down,down,2.016
0.12500000000000022,0.0029167535864953993,-0.0425977464628835,3.517736842995403e-05,1.2817327561999588e-06,up,down,down,down,2.031
0.14100000000000024,0.0035894281935142996,-0.0420421629386824,1.0056969397556625e-05,1.6436074587999612e-06,up,down,down,down,2.047
0.15700000000000025,0.0037484272858154992,-0.0099374432688259,3.517736842995403e-05,2.0054821613999635e-06,up,down,down,down,2.063
0.17199999999999993,0.0033010705167040993,0.0298237846074307,3.517736842995403e-05,2.0054821613999635e-06,up,down,down,down,2.078
0.18799999999999994,0.0029136722729461995,0.0242123902348678,3.517736842995403e-05,2.0054821613999635e-06,up,down,down,down,2.094
0.20399999999999996,0.002253329068928199,0.0412714502511235,3.517736842995403e-05,2.0054821613999635e-06,up,down,down,down,2.11
0.21900000000000008,0.0024331853307071995,-0.0119904174519309,3.517736842995403e-05,2.0054821613999635e-06,up,down,down,down,2.125
0.2350000000000001,0.002266277422002399,0.0104317442940482,4.579251961953079e-05,2.6532412657999578e-06,up,down,down,down,2.141
0.2500000000000002,0.0021282863368714995,0.0091994056753936,3.517736842995403e-05,3.260515426199977e-06,up,down,down,down,2.156
0.26600000000000024,0.0019394661469007996,0.0118012618731677,3.517736842995403e-05,3.260515426199977e-06,up,down,down,down,2.172
0.28200000000000025,0.001891026624141699,0.0030274701724453,3.517736842995403e-05,3.260515426199977e-06,up,down,down,down,2.188
0.29699999999999993,0.001827412812694799,0.0042409207631285,3.517736842995403e-05,3.260515426199977e-06,up,down,down,down,2.203
0.31299999999999994,0.0017872068720787993,0.0025128712884958,6.588925667154597e-05,4.069048426999977e-06,up,down,down,down,2.219
0.32899999999999996,0.001846803266479599,-0.003724774650049,3.517736842995403e-05,4.877581427799977e-06,up,down,down,down,2.235
0.3440000000000001,0.0019142589005465994,-0.0044970422711306,3.517736842995403e-05,4.877581427799977e-06,up,down,down,down,2.25
0.3600000000000001,0.002364248781617599,-0.0281243675669395,3.517736842995403e-05,4.877581427799977e-06,up,down,down,down,2.266
0.3750000000000002,0.0021946216080461992,0.0113084782380922,2.482415964286111e-05,4.955230493699982e-06,up,down,down,down,2.281
0.39100000000000024,0.0018837281877104994,0.019430838770984,3.517736842995403e-05,5.038056164000007e-06,up,down,down,down,2.297
0.40700000000000025,0.0016245312607416993,0.0161998079355463,3.517736842995403e-05,5.038056164000007e-06,up,down,down,down,2.313
0.42199999999999993,0.0013003030687421995,0.0216152127999677,3.517736842995403e-05,5.038056164000007e-06,up,down,down,down,2.328
0.43799999999999994,0.0009824322922717989,0.0198669235293991,3.517736842995403e-05,5.038056164000007e-06,up,down,down,down,2.344
0.45399999999999996,0.0007042673752852991,0.0173853073116569,4.2467219247228905e-05,5.659212865399984e-06,up,down,down,down,2.36
0.4690000000000001,0.0014536077784654995,-0.0499560268786795,3.517736842995403e-05,6.241547272999959e-06,up,down,down,down,2.375
0.4850000000000001,0.0011416608882157996,0.0194966806406071,3.517736842995403e-05,6.241547272999959e-06,up,down,down,down,2.391
0.5000000000000002,0.0008327818213942993,0.0205919377881019,3.517736842995403e-05,6.241547272999959e-06,up,down,down,down,2.406
0.5160000000000002,0.001257759066863499,-0.0265610778418245,8.974579259017616e-06,6.594762854499959e-06,up,down,down,down,2.422
0.5320000000000003,0.0017451579168845993,-0.030462428126321,3.517736842995403e-05,6.947978435999959e-06,up,down,down,down,2.438
0.5469999999999999,0.0022229999267082993,-0.0318561339882475,3.517736842995403e-05,6.947978435999959e-06,up,down,down,down,2.453
0.563,0.002730529708536299,-0.0317206113642498,3.517736842995403e-05,6.947978435999959e-06,up,down,down,down,2.469
0.579,0.0026258726013210993,0.0065410692009493,3.517736842995403e-05,6.947978435999959e-06,up,down,down,down,2.485
0.5940000000000001,0.0026293110052932993,-0.0002292269314807,6.343907488243206e-06,7.259388005399965e-06,up,down,down,down,2.5
0.6100000000000001,0.002622395194201499,0.0004322381932375,3.517736842995403e-05,7.591558212699957e-06,up,down,down,down,2.516
0.6250000000000002,0.0018547547194547988,0.0511760316497832,3.517736842995403e-05,7.591558212699957e-06,up,down,down,down,2.531
0.6410000000000002,0.002327503342987999,-0.0295467889708244,3.517736842995403e-05,7.591558212699957e-06,up,down,down,down,2.547
0.6570000000000003,0.002748899793720899,-0.026337278170807,3.517736842995403e-05,7.591558212699957e-06,up,down,down,down,2.563
0.6719999999999999,0.0016351510746339991,0.0742499146057929,3.1508570294339067e-06,7.83175704819998e-06,up,down,down,down,2.578
0.688,0.0005432405657259994,0.0682444068067499,3.517736842995403e-05,8.087969139399962e-06,up,down,down,down,2.594
0.704,0.0006770607391217015,0.0762688315529835,3.517736842995403e-05,8.087969139399962e-06,up,down,down,down,2.61
0.7190000000000001,0.001859435819817101,0.0788250053796932,3.517736842995403e-05,8.087969139399962e-06,up,down,down,down,2.625
0.7350000000000001,0.001311088078015301,-0.0342717338626119,6.849551704294597e-05,8.917352223199984e-06,up,down,down,down,2.641
0.7500000000000002,0.0007734922527191015,-0.0358397216864145,3.517736842995403e-05,9.694898864299974e-06,up,down,down,down,2.656
0.7660000000000002,0.0005005259289205012,-0.0170603952374115,3.517736842995403e-05,9.694898864299974e-06,up,down,down,down,2.672
0.7820000000000003,0.00020429426080600076,-0.0185144792571589,5.514646817708635e-06,1.002043498629998e-05,up,down,down,down,2.688
0.7969999999999999,0.0005379599614769998,-0.0494836148188692,3.517736842995403e-05,1.0325625100599965e-05,up,down,down,down,2.703
0.813,0.0012656601794009993,-0.0454812636202505,3.517736842995403e-05,1.0325625100599965e-05,up,down,down,down,2.719
0.829,0.0015263690290385993,-0.0162943031023487,3.517736842995403e-05,1.0325625100599965e-05,up,down,down,down,2.735
0.8440000000000001,0.0022842943719396996,-0.0505283561934055,2.7346795812698e-05,1.0384354395199982e-05,up,down,down,down,2.75
0.8600000000000001,0.0030273584336075994,-0.0464415038542442,3.517736842995403e-05,1.0446998976199994e-05,up,down,down,down,2.766
0.8750000000000002,0.002522260979697399,0.0336731635940165,3.517736842995403e-05,1.0446998976199994e-05,up,down,down,down,2.781
0.8910000000000002,0.002581486045896199,-0.0037015666374262,3.517736842995403e-05,1.0446998976199994e-05,up,down,down,down,2.797
0.9070000000000003,0.0022496252748940996,0.020741298187632,3.517736842995403e-05,1.0446998976199994e-05,up,down,down,down,2.813
0.9219999999999999,0.0019462062997384994,0.0202279316770419,3.517736842995403e-05,1.0446998976199994e-05,up,down,down,down,2.828
0.938,0.0016487367162536992,0.0185918489677971,5.993882908103543e-05,1.1207928556299996e-05,up,down,down,down,2.844
0.954,0.0016929222816415993,-0.0027615978367423,3.517736842995403e-05,1.1968858136399997e-05,up,down,down,down,2.86
0.9690000000000001,0.0020281595064162994,-0.0223491483183122,3.517736842995403e-05,1.1968858136399997e-05,up,down,down,down,2.875
0.9850000000000001,0.0023512555399633995,-0.0201935020966992,3.517736842995403e-05,1.1968858136399997e-05,up,down,down,down,2.891
1.0000000000000002,0.002896239960136899,-0.0363322946782315,3.410787250783531e-05,1.1976879355800004e-05,up,down,down,down,2.906
1.0160000000000002,0.003821430945508999,-0.0578244365857516,3.517736842995403e-05,1.198543532319996e-05,up,down,down,down,2.922
1.0320000000000003,0.0041772278056413994,-0.0222373037582767,3.517736842995403e-05,1.198543532319996e-05,up,down,down,down,2.938
1.047,0.004513841757832599,-0.0224409301460805,3.517736842995403e-05,1.198543532319996e-05,up,down,down,down,2.953
1.063,0.0039264499300504995,0.036711989236382,3.517736842995403e-05,1.198543532319996e-05,up,down,down,down,2.969
1.079,0.003698021944838899,0.0142767490757256,3.517736842995403e-05,1.198543532319996e-05,up,down,down,down,2.985
1.094,0.0034448646031321993,0.0168771561137739,3.517736842995403e-05,1.198543532319996e-05,up,down,down,down,3.0
1.1250000000000002,0.003645226809904799,-0.0064632969926629,6.959354485754597e-05,1.3609384479099963e-05,up,down,down,down,3.031
1.1250000000000002,0.003841660345957099,0.0,3.517736842995403e-05,1.3609384479099963e-05,up,down,down,down,3.031
1.1410000000000002,0.003977369251449799,-0.0084818065932967,3.517736842995403e-05,1.3609384479099963e-05,up,down,down,down,3.047
1.1570000000000003,0.003652676433969099,0.0202933010925443,3.517736842995403e-05,1.3609384479099963e-05,up,down,down,down,3.063
1.172,0.0034071744754324996,0.0163667972357713,3.517736842995403e-05,1.3609384479099963e-05,up,down,down,down,3.078
1.188,0.0044915209047236,-0.0677716518306947,3.517736842995403e-05,1.3609384479099963e-05,up,down,down,down,3.094
1.204,0.0055657722250756995,-0.0671407075220064,3.517736842995403e-05,1.3609384479099963e-05,up,down,down,down,3.11
1.219,0.005987299202594499,-0.0281017985012489,2.6135742366026338e-05,1.3677196674599971e-05,up,down,down,down,3.125
1.235,0.005925690394084599,0.0038505505318697,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.141
1.2500000000000002,0.005908175539559599,0.0011676569683297,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.156
1.2660000000000002,0.006614203856786499,-0.04412676982668,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.172
1.2820000000000003,0.007261653189587499,-0.0404655833000644,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.188
1.297,0.0079282505419638,-0.0444398234917533,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.203
1.313,0.0098686780435972,-0.1212767188520923,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.219
1.329,0.0117710579471594,-0.1188987439726395,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.235
1.344,0.0156887596660393,-0.2611801145919872,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.25
1.36,0.019062857606741,-0.2108811212938597,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.266
1.3750000000000002,0.0219807980162549,-0.1945293606342567,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.281
1.3910000000000002,0.0248415239079342,-0.1787953682299557,3.517736842995403e-05,1.3749529683099973e-05,up,down,down,down,3.297
1.4070000000000003,0.026686597527444098,-0.1153171012193697,0.00030717339281765405,1.1573561487999995e-05,up,down,down,down,3.313
1.422,0.0284722413559457,-0.1190429219001057,9.143253433990806e-05,9.111677560799962e-06,up,down,down,down,3.328
1.438,0.034498204842282804,-0.3766227178960687,3.517736842995403e-05,8.661636233499997e-06,up,down,down,down,3.344
1.454,0.0404060121818297,-0.3692379587216795,0.00041830791989845405,5.59659182170001e-06,up,down,down,down,3.36
1.469,0.0462160232983137,-0.3873340744322667,0.000438541035896354,3.0211482030000807e-07,up,down,down,down,3.375
1.485,0.0528570781291399,-0.4150659269266384,0.000593064887205954,7.992124310200006e-06,up,down,down,down,3.391
1.5000000000000002,0.0604979537924688,-0.5093917108885843,0.0008137954765147541,1.8015916511699998e-05,up,down,down,down,3.406
1.5160000000000002,0.0680771517969898,-0.4736998752825623,0.001204335361120354,3.359812531790002e-05,up,down,down,down,3.422
1.5320000000000003,0.07681805442541281,-0.5463064142764424,0.001725436050789554,5.6473458718300025e-05,up,down,down,down,3.438
1.547,0.0861135983344905,-0.6197029272718537,0.002317991296385654,8.627150329560004e-05,up,down,down,down,3.453
1.563,0.0952268766767243,-0.5695798963896154,0.0036306541363652542,0.0001332978288628,up,down,down,down,3.469
1.579,0.1041276718539432,-0.5562996985761788,0.005087429564500554,0.00020247966057480003,up,down,down,down,3.485
1.594,0.1140176768311302,-0.6593336651457986,0.006594087529535454,0.00028956337825360005,up,down,down,down,3.5
1.61,0.12325008578091351,-0.5770255593614543,0.008354168670321654,0.00040858658995756507,up,down,down,down,3.516
1.6250000000000002,0.131135822741113,-0.5257157973466258,0.010132630834133753,0.0005467099257145,up,down,down,down,3.531
1.6410000000000002,0.1388612606970927,-0.4828398722487299,0.012154546541529254,0.0007244445068249001,up,down,down,down,3.547
1.6570000000000003,0.15005867722876332,-0.6998385332294126,0.014327845084826055,0.0009357408019409,up,down,down,down,3.563
1.672,0.1610744524484726,-0.7343850146473031,0.016531911407302154,0.0011666613151054,up,down,down,down,3.578
1.688,0.1718742320756394,-0.6749862266979262,0.019057439923384954,0.0014508132878560001,up,down,down,down,3.594
1.704,0.1837328993630418,-0.7411667054626474,0.021764236014784354,0.0017768238574665,up,down,down,down,3.61
1.719,0.1977563149653995,-0.9348943734905096,0.024495972972144453,0.002123247764342,up,down,down,down,3.625
1.735,0.2114936735974666,-0.8585849145041894,0.027631911920537353,0.0025397080055886,up,down,down,down,3.641
1.7500000000000002,0.2254054631336401,-0.927452635744896,0.030779223295917455,0.0029772638591855,up,down,down,down,3.656
1.7660000000000002,0.2397018304891034,-0.8935229597164521,0.03436202068478936,0.0034978309731363,up,down,down,down,3.672
1.7820000000000003,0.2535130436794315,-0.8632008243955039,0.03816967871802755,0.004077521730464,up,down,down,down,3.688
1.797,0.2674862120431847,-0.9315445575835648,0.04194774098584396,0.0046778747177165,up,down,down,down,3.703
1.813,0.2811853967135302,-0.8561990418965985,0.04619905289578756,0.0053824862308747,up,down,down,down,3.719
1.829,0.2950135304850487,-0.8642583607199043,0.05067058335326616,0.0061568804829723,up,down,down,down,3.735
1.844,0.3085641247368489,-0.9033729501200034,0.05506798361732726,0.0069493920747253,up,down,down,down,3.75
1.86,0.32159321685294273,-0.814318257255863,0.059971181389935554,0.0078691425568885,up,down,down,down,3.766
1.8750000000000002,0.3346975286262683,-0.8736207848883665,0.06476392983092645,0.0088041282305185,up,down,down,down,3.781
1.8910000000000002,0.3475370202800754,-0.8024682283629396,0.07008374526206715,0.0098823467933676,up,down,down,down,3.797
1.9070000000000003,0.3609437181835435,-0.837918618966759,0.07561353020966605,0.0110473621592466,up,down,down,down,3.813
1.922,0.3743199053892176,-0.8917458137116275,0.08099857523635845,0.0122214252895653,up,down,down,down,3.828
1.938,0.38639187613130943,-0.7544981713807346,0.08694620852841255,0.0135644207217886,up,down,down,down,3.844
1.954,0.3982277416894586,-0.739741597384324,0.09308510451086865,0.015004108388207999,up,down,down,down,3.86
1.969,0.4113425460586519,-0.8743202912795476,0.09902744951887635,0.0164444248829046,up,down,down,down,3.875
1.985,0.4238398931966465,-0.7810841961246588,0.10557084807280866,0.0180806484257432,up,down,down,down,3.891
2.0,0.4360921943123283,-0.8168200743787848,0.11189090657902286,0.0197110839251055,up,down,down,down,3.906
2.016,0.4481165353903211,-0.7515213173745476,0.11882651545653396,0.0215562604634951,up,down,down,down,3.922
2.032,0.4594481459439325,-0.7082256596007135,0.12594897194709795,0.0235139015248293,up,down,down,down,3.938
2.0469999999999997,0.4705658699207262,-0.7411815984529271,0.13279464491597956,0.0254539509907759,up,down,down,down,3.953
2.0629999999999997,0.4812925408722694,-0.6704169344714511,0.14027145124221346,0.0276379169221465,up,down,down,down,3.969
