timestamps,aAcc,aJerk,aHeight,aVelocity
60.525,-0.176500708217004,0.2468198426922566,-0.8702698571808412,1.914789470397715
60.54,-0.173775466824491,0.1816827595008568,-0.8728969284936525,1.901715719505156
60.558,-0.1719616846940184,0.1007656739151447,-0.8760085628573193,1.8859755700829965
60.574,-0.1692717992842727,0.1681178381091238,-0.8787384307291453,1.8719375941343062
60.589,-0.1660226070222243,0.2166128174698811,-0.8812531387764442,1.8587376573630139
60.604,-0.1629944303661084,0.2018784437410582,-0.8837207665568567,1.8455003530730139
60.619,-0.1591609925299213,0.2555625224124609,-0.886136932228577,1.8322264203321221
60.639,-0.1545927701367961,0.228411119656222,-0.8892744698552446,1.8144723063112813
60.654,-0.1508713341569141,0.2480957319921279,-0.8915654506374475,1.8011160069075853
60.669,-0.1480284068625632,0.1895284862901407,-0.8938071986950926,1.7877257120375973
60.684,-0.1451343970064709,0.1929339904061486,-0.8960059197241104,1.7743021136494528
60.704,-0.1429852601838366,0.1074568411316977,-0.8988871162960139,1.7563531832892487
60.718,-0.14155185890084,0.1023858059283093,-0.9008788761296072,1.7437548213422667
60.738,-0.1389616262109392,0.1295116344950644,-0.9036840109807244,1.725709192471167
60.748,-0.1353480123534041,0.3613613857535833,-0.905055559173546,1.7166654946203974
60.768,-0.1331795544579268,0.108422894773846,-0.9077408348416596,1.6985375306802426
60.783,-0.1305698305382971,0.1739815946419706,-0.9097189552291314,1.684906582254711
60.798,-0.1285516201906382,0.1345473565105897,-0.9116623661095984,1.6712462223446702
60.813,-0.1265309977106294,0.1347081653339137,-0.913575485743858,1.657556938455769
60.833,-0.1243529747715772,0.1089011469526329,-0.9160843254686796,1.6392603403436472
60.847,-0.1217184429687261,0.1881808430607549,-0.9178068253928622,1.6264231022876139
60.862,-0.1191201938357302,0.173216608866386,-0.9196131151688958,1.6126424527334
60.877,-0.1163854534098725,0.1823160283905098,-0.9213794075232378,1.5988350088132084
60.9,-0.1138407183118594,0.1106406564353667,-0.9240270084980372,1.5776128350289673
60.912,-0.1123463732882328,0.1245287519688839,-0.9253841310476378,1.566516368191693
60.927,-0.1108511063546497,0.0996844622388655,-0.9270581121449596,1.552623051367748
60.942,-0.1092574353626201,0.1062447328019741,-0.928708926207839,1.5387047985801015
60.962,-0.1073714792175284,0.0942978072545694,-0.9308752153536408,1.520108957164484
60.976,-0.1052100625907819,0.1543869019105117,-0.9323632861462984,1.507066287653988
60.991,-0.1029790777022672,0.1487323259009742,-0.9339247046984964,1.4930691277226513
61.006,-0.1000679455707445,0.1940754754348406,-0.935447557373044,1.4790488357571145
61.026,-0.0976637782040636,0.1202083683340216,-0.9374248746107924,1.4603201114372732
61.041,-0.0956067155441573,0.1371375106604831,-0.9388744033139036,1.4462478668528442
61.062,-0.0939032899948983,0.0811155023456613,-0.9408642583720636,1.426510610905141
61.071,-0.0932951601560017,0.0675699820996293,-0.9417066513977428,1.4180390418111766
61.091,-0.0921573822667696,0.0568888944615952,-0.9435611768219708,1.3991863635289765
61.105,-0.0894428935395765,0.1938920519424184,-0.9448323787526148,1.3859676086399584
61.121,-0.0871149226875775,0.1454981782498879,-0.9462448412824324,1.370838990879673
61.135,-0.085248620488878,0.1333072999071503,-0.9474513860846674,1.3575831172881072
61.155,-0.0830470992568308,0.1100760616023427,-0.9491343432821246,1.3386172599944364
61.17,-0.0815459807948837,0.1000745641298038,-0.9503687913825124,1.324370986484451
61.185,-0.0804796296768515,0.0710900745354783,-0.9515839834610508,1.3101063406731237
61.2,-0.0794871047358647,0.0661683293991163,-0.952783733969146,1.2958235827923965
61.223,-0.0779703628500811,0.0659452993819043,-0.954594494846384,1.2738887331610218
61.235,-0.0760032793651301,0.1639236237459108,-0.9555183366996752,1.262428056171745
61.25,-0.0745935203807253,0.0939839322936547,-0.9566478126977692,1.2480868100512637
61.264,-0.0722315804012012,0.1687099985373973,-0.9576755884032432,1.234686546243554
61.284,-0.0698851811298357,0.1173199635682975,-0.9590967560185532,1.2155188227993396
61.299,-0.0691667561749138,0.0478949969947924,-0.9601396455483387,1.2011245497875873
61.314,-0.0686191989611906,0.0365038142482144,-0.9611730402118596,1.1867147046443853
61.329,-0.0675188462030806,0.0733568505406595,-0.9621940755505918,1.1722894512761661
61.349,-0.0668747027039255,0.032207174957761,-0.9635380110396616,1.1530321304102678
61.364,-0.0655756200703354,0.0866055089060055,-0.9645313884604688,1.1385716099140162
61.379,-0.0636650936781926,0.1273684261428513,-0.9655006938135826,1.12409636929696
61.393,-0.0616501578939896,0.143923984585897,-0.966377900574588,1.1105732191362403
61.413,-0.0607512956309133,0.0449431131538258,-0.967601915109837,1.0912334209794
