timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction
0.0,0.0,-0.5885132373080187,0.0,0.0,up,down,down,up
0.016000000000000014,0.009338545400002105,-0.5836590875001318,0.0010392601631423748,0.02287241288644548,up,down,down,up
0.030999999999999694,0.019830154945326597,-0.6994406363549792,0.002162292728178361,0.04429908277202621,up,down,down,up
0.04699999999999971,0.030154768025527204,-0.6452883175125373,0.003526723911887686,0.06713429760665646,up,down,down,up
0.06299999999999972,0.0405538486856951,-0.6499425412604948,0.0050569446455199785,0.08994635522594763,up,down,down,up
0.0779999999999994,0.051272721101789,-0.7145914944062697,0.006649911231372041,0.1113092353391365,up,down,down,up
0.09399999999999942,0.0617814195489413,-0.6567936529470181,0.00851889615652035,0.13406861184778407,up,down,down,up
0.10899999999999999,0.0708318596985844,-0.6033626766428558,0.010417763063322871,0.1553772684359025,up,down,down,up
0.125,0.08078905812917019,-0.6223249019116078,0.01259528220588746,0.17807389104149962,up,down,down,up
0.14100000000000001,0.09052742193595449,-0.6086477379240168,0.014930365846350657,0.2007344128248323,up,down,down,up
0.1559999999999997,0.10007483743280159,-0.6364943664564884,0.01726415010406246,0.22194363548746976,up,down,down,up
0.1719999999999997,0.1096221998970197,-0.5967101540136349,0.019906278202643568,0.24452699902876684,up,down,down,up
0.18799999999999972,0.1178825117053215,-0.5162694880188607,0.022690867695404737,0.26706694882933313,up,down,down,up
0.2029999999999994,0.12602860405167432,-0.5430728230901964,0.025424468376028297,0.28815676534106327,up,down,down,up
0.21899999999999942,0.13401496909711957,-0.4991478153403279,0.02846936876116124,0.31060634161171663,up,down,down,up
0.23399999999999999,0.14343173091894101,-0.6277841214547426,0.031454486323727604,0.3316075942308472,up,down,down,up
0.25,0.15415999588514318,-0.6705165603876345,0.0347997719381028,0.3539582871325031,up,down,down,up
0.266,0.1646673429358661,-0.6567091906701789,0.03831494244861333,0.37625409638516016,up,down,down,up
0.2809999999999997,0.1752892630165359,-0.7081280053780062,0.04176888430570247,0.3971041492167684,up,down,down,up
0.2969999999999997,0.1858709370843048,-0.6613546292355549,0.045622717706451654,0.41928574336842184,up,down,down,up
0.3129999999999997,0.1962324867211116,-0.6475968523004244,0.04964409689683724,0.44140433581934646,up,down,down,up
0.3279999999999994,0.20540265365489146,-0.6113444622520005,0.05356062776210324,0.4620809819166696,up,down,down,up
0.3439999999999994,0.21231477821546818,-0.4320077850360478,0.05786691901700847,0.4840702885101873,up,down,down,up
0.359,0.2210715517752604,-0.583784903986125,0.06202158380438516,0.5046218062712944,up,down,down,up
0.375,0.22966475135320508,-0.5370749736215426,0.06659202602935532,0.5264736243603747,up,down,down,up
0.391,0.23805290384350286,-0.5242595306436111,0.07129831907087136,0.5482512285673233,up,down,down,up
0.4059999999999997,0.24644958089435676,-0.5597784700569383,0.07583635501885122,0.5685984000439164,up,down,down,up
0.4219999999999997,0.2546876873656228,-0.5148816544541241,0.08081000496487367,0.5902259561317971,up,down,down,up
0.4379999999999997,0.2613249414554506,-0.4148283806142401,0.08590265779538453,0.6117729817974658,up,down,down,up
