timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,accelerations_direction,velocities_direction,heights_direction,jerk_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.0,,,,0.0,,0.0,0.0,,0.0,up,down,down,0.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.828
0.01499999999999968,,,,0.0,,0.2143048479789107,0.0,,0.0,up,down,down,0.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.843
0.030999999999999694,,,,0.0,,0.4592965244132326,0.01380699993035489,,0.0,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.859
0.04699999999999971,,,,0.01709449730721241,,0.6189991706116998,0.02078126378631423,,0.014607151992004505,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.875
0.06199999999999939,,,,0.026317823974562005,,0.6866502856148815,0.02718479272173241,,0.019471983711989896,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.89
0.0779999999999994,,,,0.03530667336279508,,0.6335649278894623,0.03386952617773392,,0.024765843645772292,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.906
0.09299999999999997,,,,0.0475314466651966,,0.8867467279516285,0.03997736162255583,,0.02982478160044981,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.921
0.10899999999999999,,,,0.06159236005898272,,0.9505689282365273,0.04628210060346272,,0.03532028268084471,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.937
0.13999999999999968,,,,0.07581257007132253,,0.5304782931358631,0.05805917496617491,,0.0462480841309358,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.968
0.1559999999999997,,,,0.08968594569311777,,0.9388478174870976,0.0639129162747597,,0.052029286243450004,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,4.984
0.1719999999999997,,,,0.10301389319428189,,0.9047585599476484,0.0695490469983609,,0.0579024073322217,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.0
0.1869999999999994,,,,0.1161179075493255,,0.9453627981278209,0.07463467983781541,,0.063488871579668,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.015
0.2029999999999994,,,,0.1289277043895929,,0.8723741436416069,0.07985204437700444,,0.06953019075597329,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.031
0.21799999999999997,,,,0.13953115931944632,,0.7786588364484341,0.08456772424421843,,0.07526842531680779,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.046
0.25,,,,0.1483918679238343,,0.3486589850120178,0.09431641467772672,,0.0877414223047324,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.078
0.2649999999999997,,,,0.15594569707420902,,0.5753504511498877,0.0987630042852729,,0.0936946042431299,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.093
0.2809999999999997,,,,0.1618962757086439,,0.4436730057770784,0.10339799793771043,,0.1001173176435005,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.109
0.2969999999999997,,,,0.168295759511853,,0.4717295788254634,0.10793419109064689,,0.1066134005383141,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.125
