timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,actual_timestamps
0.0,0.0,-0.0812010927954221,0.0,0.0,up,up,up,down,47.766
0.030999999999998806,0.00012465894397810026,-0.0040212562573569,6.213792160236764e-05,0.09308775615407683,up,up,up,down,47.797
0.04700000000000415,0.0002164578622939001,-0.0057374323947348,9.594076984376088e-05,0.14113381717915274,up,up,up,down,47.813
0.07800000000000296,0.0010651423605826,-0.0273769192996357,0.00017601128126853993,0.23422482545227297,up,up,up,down,47.844
0.0940000000000012,0.0018857150972878003,-0.0512857960440816,0.0002306920547234803,0.2822728754744759,up,up,up,down,47.86
0.10900000000000176,0.0020311578425521,-0.0096961830176189,0.00028920039595092817,0.3273187712886596,up,up,up,down,47.875
0.125,0.0019940938621979,0.0023164987721371,0.00035247632338020196,0.3753687010979121,up,up,up,down,47.891
0.14099999999999824,0.0031243896205507,-0.070643484897056,0.0004244981050334218,0.4234197132888795,up,up,up,down,47.907
0.1559999999999988,0.004215596932310101,-0.0727471541172965,0.000508679798359335,0.4684687087439414,up,up,up,down,47.922
0.17200000000000415,0.0042470782664968,-0.0019675833866632,0.000607455113740496,0.5165224342187713,up,up,up,down,47.938
0.1880000000000024,0.0026029294943087,0.1027592982617677,0.0006933290896187216,0.5645776368879183,up,up,up,down,47.954
0.20300000000000296,0.0010031996636979002,0.1066486553740453,0.000749506852482984,0.6096304547782836,up,up,up,down,47.969
0.2190000000000012,0.0009666952485254,0.1231184320139713,0.0007808728015956667,0.6576874942110322,up,up,up,down,47.985
0.23400000000000176,0.0024779420138862,0.1007497843573863,0.0007841698163066901,0.702741228651476,up,up,up,down,48.0
0.25,0.0039435427746282,0.0916000475463908,0.0007638718517899434,0.7507984093803373,up,up,up,down,48.016
0.26599999999999824,0.0044507191967734,0.0316985263840753,0.0007277916698100739,0.7988551390840399,up,up,up,down,48.032
0.2809999999999988,0.0027278789131059,-0.1148560189111647,0.0007030839781654308,0.8439078672721934,up,up,up,down,48.047
0.3130000000000024,0.0037779197134318997,0.0328137750101838,0.0006611390277235785,0.9400192876313582,up,up,up,down,48.079
0.32800000000000296,0.004818929009028,0.0694006197064067,0.0006257944564840301,0.9850709362532797,up,up,up,down,48.094
0.3440000000000012,0.0053967056357818,0.0361110391721193,0.0005751432931164757,1.0331253401508036,up,up,up,down,48.11
0.35900000000000176,0.0041930985178185,-0.0802404745308837,0.0005323515561443948,1.0781756429829557,up,up,up,down,48.125
0.375,0.0029726007605892996,-0.076281109826834,0.0005060998757082658,1.1262287469899235,up,up,up,down,48.141
0.39099999999999824,0.0039201929770679,0.0592245135299161,0.0004820314395983516,1.1742814484359627,up,up,up,down,48.157
0.4059999999999988,0.0028326297035227,-0.0725042182363439,0.00046051706367311596,1.2193305141705366,up,up,up,down,48.172
0.42200000000000415,0.0017593296265409999,-0.0670812548113406,0.0004548553028240754,1.2673826335449974,up,up,up,down,48.188
0.4380000000000024,0.0007616388731878998,-0.0623556720845754,0.00046576146861765366,1.3154347948747187,up,up,up,down,48.204
0.45300000000000296,0.0013753689223213999,0.0409153366089027,0.00047886570433064435,1.360483876199325,up,up,up,down,48.219
0.4690000000000012,0.0014553600242735,0.0049994438720007,0.00048729378654854827,1.4085364018707622,up,up,up,down,48.235
0.48400000000000176,0.00019392657226899985,-0.0840955634669613,0.0005040559312536885,1.45358583361444,up,up,up,down,48.25
0.5,0.0010081964926964,0.0508918700267203,0.000525512860525712,1.5016388665602847,up,up,up,down,48.266
0.5309999999999988,0.0018484857957829204,0.02710610655118,0.0005414399930248059,1.5947421973458376,up,up,up,down,48.297
0.5470000000000041,0.0011529097419114,-0.0434735033669607,0.0005485027425145006,1.6427957132832631,up,up,up,down,48.313
0.5630000000000024,0.0021071832088458,0.059642091683416,0.0005534959126998196,1.6908493256680401,up,up,up,down,48.329
0.578000000000003,0.0030469550451177997,0.0626514557514662,0.0005439716699742192,1.7358995532956953,up,up,up,down,48.344
0.5940000000000012,0.0039514034451889005,0.0565280250044493,0.0005190587158430127,1.783952853934295,up,up,up,down,48.36
0.6090000000000018,0.0041822660294136005,0.0153908389483105,0.00048718798896318916,1.8290023974054037,up,up,up,down,48.375
0.625,0.0044492164366171,0.0166844004502194,0.0004492100430257828,1.8770546849851542,up,up,up,down,48.391
0.6409999999999982,0.0047458186271906,0.0185376369108445,0.00040672367630723016,1.9251063288504326,up,up,up,down,48.407
0.6559999999999988,0.0047880420335086,0.0028148937545323,0.0003643515155307142,1.970154108535155,up,up,up,down,48.422
0.6720000000000041,0.0045936000845613004,-0.0121526218091986,0.00032037229237724674,2.0182043827211515,up,up,up,down,48.438
0.703000000000003,0.0043522486529727,-0.0077855300512472,0.00024191734491596506,2.111299891226878,up,up,up,down,48.469
0.7190000000000012,0.0039316310934402,-0.0262885974707833,0.0002067202207358676,2.1593482767229233,up,up,up,down,48.485
0.7340000000000018,0.0035286191806365996,-0.0268674608535698,0.0001799001378595122,2.2043931729964044,up,up,up,down,48.5
0.75,0.0029180377134831,-0.0381613416971002,0.00015940079649778838,2.252440683799392,up,up,up,down,48.516
0.7659999999999982,0.0004307161003431,-0.1554576008212687,0.000163684679778342,2.3004880648787207,up,up,up,down,48.532
0.7970000000000041,0.0015576202460785,0.0363517466366173,0.00019307117437961097,2.393580387610797,up,up,up,down,48.563
0.8130000000000024,0.001124738077678,-0.0270551355250366,0.00020268622158026162,2.4416283500654714,up,up,up,down,48.579
