timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction
1.0620000000000003,0.7100389151315004,-0.4835975128373639,0.5021456289702654,0.20010353398307926,up,down,down,down
1.0780000000000003,0.7160998798604173,-0.3788102955573077,0.5149125050590212,0.20829939564703506,up,down,down,down
1.0940000000000003,0.7217819911288555,-0.3551319542773875,0.5277733257557561,0.21670027888527477,up,down,down,down
1.109,0.7273526884508553,-0.3713798214666595,0.539914741223373,0.22476362369235686,up,down,down,down
1.125,0.7328536962157896,-0.343812985308389,0.5529541580295269,0.23356597147810157,up,down,down,down
1.141,0.7389562751966353,-0.3814111863028598,0.5660864035296469,0.24257769256229636,up,down,down,down
1.1559999999999997,0.743765218858096,-0.3205962440973851,0.5784797201058265,0.25121762279430104,up,down,down,down
1.1719999999999997,0.7484798695065874,-0.2946656655307131,0.5917754465415647,0.2606390607192016,up,down,down,down
1.1870000000000003,0.753334529775998,-0.3236440179606954,0.6043119599069539,0.26966540057230476,up,down,down,down
1.2030000000000003,0.7588617945294108,-0.3454540470883002,0.6177672962302178,0.27950143121312354,up,down,down,down
1.2190000000000003,0.7629956758207151,-0.2583675807065198,0.6312999217218395,0.28955336554846145,up,down,down,down
1.234,0.767052640701806,-0.2704643254060633,0.6440481894665274,0.29917416068711283,up,down,down,down
1.25,0.7713291272942745,-0.2672804120292802,0.6577130093393168,0.30964764686928103,up,down,down,down
1.266,0.7761933906124804,-0.3040164573878676,0.6714509552113914,0.3203403551774082,up,down,down,down
1.2809999999999997,0.7809839080297679,-0.3193678278191756,0.6844026903219773,0.33056494182364704,up,down,down,down
1.2969999999999997,0.7855393728443528,-0.2847165509115565,0.698292642297791,0.3416859010763266,up,down,down,down
1.3120000000000003,0.7901599717134183,-0.3080399246043561,0.7113832927527441,0.35231415489394496,up,down,down,down
1.3280000000000003,0.7946267081286306,-0.2791710259507638,0.7254193519203012,0.36386797264305076,up,down,down,down
1.3440000000000003,0.7980007482260537,-0.2108775060889465,0.7395181372999593,0.37564686914853423,up,down,down,down
1.359,0.8025794486111925,-0.3052466923425895,0.7527953941470077,0.38689490493912515,up,down,down,down
1.375,0.8054727080549694,-0.1808287152360586,0.7670175771291576,0.3991128053010559,up,down,down,down
1.391,0.8082620231286325,-0.1743321921039429,0.7812852207074471,0.41155862427547013,up,down,down,down
1.4059999999999997,0.8126420551163208,-0.2920021325125613,0.7947149066650533,0.42343430953550254,up,down,down,down
1.4219999999999997,0.8164659306304589,-0.2389922196336378,0.8091055362798482,0.43632426967078314,up,down,down,down
1.4370000000000003,0.8202371651175754,-0.2514156324744144,0.8226537148687283,0.4486181483591368,up,down,down,down
1.4530000000000003,0.8227357051920929,-0.1561587546573538,0.8371552635600263,0.46195601677828824,up,down,down,down
1.4690000000000003,0.825185757996513,-0.1531283002762505,0.8516964009943558,0.47552622668644473,up,down,down,down
1.484,0.8275877705498653,-0.1601341702234801,0.8653651078292227,0.48845987230736015,up,down,down,down
1.5,0.8307239358758399,-0.1960103328734195,0.879989367209449,0.5024821046993911,up,down,down,down
1.516,0.8339631579604153,-0.2024513802859616,0.8946646296889597,0.5167387332662998,up,down,down,down
1.5309999999999997,0.8363842921998066,-0.1614089492927477,0.9084651409359302,0.5303178908507251,up,down,down,down
1.5469999999999997,0.8387425238377731,-0.1473894773729166,0.9232239211930516,0.5450307999394784,up,down,down,down
1.5620000000000003,0.8431226733965539,-0.2920099705853718,0.9371108155430791,0.5590389947697388,up,down,down,down
1.5780000000000003,0.8462715167789076,-0.1968027113971036,0.9519837347933034,0.5742111477641514,up,down,down,down
1.5940000000000003,0.8493930059960509,-0.1950930760714618,0.9669068167043237,0.5896216687678538,up,down,down,down
1.609,0.8522312849859317,-0.1892185993253806,0.9809419042574574,0.6042862184798057,up,down,down,down
1.625,0.8542545682262636,-0.1264552025207476,0.9959515568119758,0.6201607627600826,up,down,down,down
1.641,0.8562549638769621,-0.1250247281686655,1.010993398797622,0.6362757189966808,up,down,down,down
1.6559999999999997,0.8600445114541487,-0.2526365051457737,1.0251385502333745,0.6516023929191518,up,down,down,down
1.6719999999999997,0.8636527795987894,-0.225516759040034,1.0402858942906188,0.6681851850670651,up,down,down,down
1.6870000000000003,0.8657405699245917,-0.1391860217201634,1.054529249782814,0.6839519829523554,up,down,down,down
1.7030000000000003,0.8677916791683079,-0.128194327732256,1.0697552735043776,0.7010056557303743,up,down,down,down
1.7190000000000003,0.8698025705837154,-0.1256807134629721,1.0850137932312147,0.7183032048559805,up,down,down,down
1.734,0.8731557713117282,-0.2235467152008444,1.0993588861661998,0.7347416842561997,up,down,down,down
1.75,0.8764432230058593,-0.2054657308832028,1.114713443849561,0.7525136594880473,up,down,down,down
1.766,0.8796643933473122,-0.2013231463408036,1.130120070509207,0.7705317241946389,up,down,down,down
1.7809999999999997,0.8823661699905739,-0.1801184428841216,1.1446082051050102,0.787647870566484,up,down,down,down
1.7969999999999997,0.884527746389763,-0.1350985249493063,1.1601011221648736,0.8061449417763645,up,down,down,down
1.8120000000000003,0.8857840274094517,-0.0837520679792633,1.1746513658391375,0.8237112697411342,up,down,down,down
1.8280000000000003,0.886966079558871,-0.0738782593386887,1.190191132423705,0.8426894063189584,up,down,down,down
1.8440000000000003,0.8896975361322745,-0.1707160358377367,1.2057622070780547,0.8619164296266939,up,down,down,down
1.859,0.891511610282427,-0.1209382766768174,1.220394181046934,0.8801682868423698,up,down,down,down
1.875,0.8933026175320561,-0.1119379531018259,1.2360304605982706,0.8998790805672529,up,down,down,down
1.891,0.8949294623225601,-0.1016777994065075,1.2516940829659282,0.9198402735074879,up,down,down,down
1.9059999999999997,0.8964730739435806,-0.1029074414013586,1.2664025073586933,0.9387816822396609,up,down,down,down
1.9219999999999997,0.8979864186700706,-0.0945840454056322,1.282115949028423,0.9592292264824793,up,down,down,down
1.9370000000000003,0.8999562649029383,-0.1313230821911728,1.2968734245259905,0.9786273310888769,up,down,down,down
1.9530000000000003,0.9017567092946185,-0.1125277744800089,1.3126448940483917,0.9995628742291935,up,down,down,down
1.9690000000000003,0.903446797189613,-0.1056304934371476,1.3284442878290863,1.0207509842759348,up,down,down,down
1.984,0.9050735228996222,-0.1084483806672906,1.3432810956005246,1.0408446089563952,up,down,down,down
2.0,0.9059679549440621,-0.0559020027774969,1.3591271931520947,1.0625232718581379,up,down,down,down
2.016,0.9064792386199854,-0.0319552297451952,1.3749845364294278,1.0844555622865115,up,down,down,down
2.0309999999999997,0.9070018077997022,-0.0348379453144557,1.3898585496483444,1.1052475697368331,up,down,down,down
2.0469999999999997,0.9073261708546615,-0.0202726909349637,1.4057309392064,1.1276716822393924,up,down,down,down
2.0620000000000003,0.9064849887496323,0.056078807001941,1.420607428274202,1.148924904300237,up,down,down,down
2.0780000000000003,0.9056244876804449,0.0537813168242084,1.4364620698144632,1.1718408568766676,up,down,down,down
2.0940000000000003,0.905391974934757,0.0145320466055087,1.4523079672442056,1.1950104137648585,up,down,down,down
2.109,0.903790876012769,0.1067399281325288,1.467149743997081,1.2169620309039064,up,down,down,down
2.125,0.9007757136631798,0.1884476468493321,1.4829440424433094,1.2406221777871513,up,down,down,down
2.141,0.8977451837967685,0.1894081166506909,1.4986899753518097,1.2645346465212337,up,down,down,down
2.1559999999999997,0.894578203223981,0.2111320381858469,1.5134053061252346,1.2871810454370498,up,down,down,down
2.1719999999999997,0.8909177448984932,0.2287786453429861,1.5290470394390347,1.3115800607932855,up,down,down,down
2.1870000000000003,0.8873652309122769,0.2368342657477413,1.5436570671283854,1.334681025897281,up,down,down,down
2.2030000000000003,0.8840099282240638,0.2097064180133221,1.5591858341302967,1.3595631656990717,up,down,down,down
2.2190000000000003,0.8777901217838837,0.3887379025112599,1.5746380002591809,1.384693152965909,up,down,down,down
2.234,0.8716922977051313,0.4065216052501665,1.5890320237761175,1.408476362450912,up,down,down,down
2.25,0.8659661466321166,0.3578844420634161,1.6042910570596363,1.4340823436893195,up,down,down,down
2.266,0.8586320645116585,0.4583801325286348,1.6194456084776072,1.459931633605339,up,down,down,down
2.2809999999999997,0.8512393368485541,0.4928485108736293,1.6335425493585778,1.484384729093849,up,down,down,down
