timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction
0.0,0.0,0.6330860626706797,0.0,0.0,down,up,up,up
0.016000000000000014,0.010643965309752104,0.6652478318595051,0.0015132794839551999,7.015244104099997e-05,down,up,up,up
0.03200000000000003,0.021218806148475308,0.660927552420198,0.0031963094170983,0.00016587535741879997,down,up,up,up
0.04700000000000015,0.031570157223763204,0.6900900716858577,0.0049310964187749004,0.0002812492185342,down,up,up,up
0.06300000000000017,0.0418963440890075,0.6453866790777635,0.006946956190754299,0.00043431984457980004,down,up,up,up
0.07800000000000029,0.0523882519627375,0.6994605249153275,0.0089929604375273,0.0006082875366382,down,up,up,up
0.0940000000000003,0.0652214550878405,0.8020751953189402,0.0113619658554092,0.0008291731521511001,down,up,up,up
0.11000000000000032,0.0779788238103159,0.7973355451547086,0.0139356958480716,0.0010896006509483,down,up,up,up
0.125,0.090486048048037,0.8338149491814247,0.016538052163394098,0.0013725720783806,down,up,up,up
0.14100000000000001,0.10273095742609151,0.7653068361284092,0.0195119159686644,0.0017190180286064,down,up,up,up
0.15700000000000003,0.11539821949238241,0.791703879143179,0.0226850771454894,0.0021146401786891,down,up,up,up
0.17200000000000015,0.1284947091092637,0.8730993077920766,0.025853143886386598,0.0025330951537744003,down,up,up,up
0.18800000000000017,0.1415363947554305,0.815105352885425,0.029441520478781402,0.0030334986738652,down,up,up,up
0.2030000000000003,0.1543302917457048,0.8529264660182818,0.0329993904039248,0.0035562238228318,down,up,up,up
0.2190000000000003,0.16916688299054888,0.927286952802752,0.037015495563292096,0.0041743891157389,down,up,up,up
0.23500000000000032,0.1817205735442915,0.7846056596089162,0.041250722977048,0.004858565069231,down,up,up,up
0.25,0.1940593124035388,0.8225825906165042,0.0454079418980415,0.0055629233731404005,down,up,up,up
0.266,0.2073254981207917,0.8291366073283061,0.0500471481437134,0.0063846102986439,down,up,up,up
0.28200000000000003,0.2218588856601063,0.9083367212071584,0.0549087509754378,0.0072823036967665,down,up,up,up
0.29700000000000015,0.23606950598479948,0.9473746883128736,0.059682083689159504,0.0081961532740972,down,up,up,up
0.31300000000000017,0.248677399294369,0.7879933318480907,0.0649881866928701,0.0092515616423229,down,up,up,up
0.3280000000000003,0.2627592155119754,0.9387877478404192,0.07016283108030259,0.010319612592968,down,up,up,up
0.3440000000000003,0.2774716974723042,0.9195301225205502,0.0759128061456541,0.011546263895945,down,up,up,up
0.3600000000000003,0.2919151066576884,0.9027130740865134,0.08189602834017119,0.012866780777001,down,up,up,up
0.375,0.3052637748895393,0.8899112154567443,0.0877137397281602,0.014193272354859699,down,up,up,up
0.391,0.3185557255985092,0.8307469193106202,0.0941324234935418,0.0157060878658027,down,up,up,up
0.40700000000000003,0.3315954333287721,0.8149817331414281,0.1007617605264373,0.017323287543132,down,up,up,up
0.42200000000000015,0.3439694421328632,0.8249339202727344,0.1071673668687845,0.0189371743159424,down,up,up,up
0.43800000000000017,0.3566214393536172,0.7907498262971207,0.1142002216821536,0.020766161229519298,down,up,up,up
0.4530000000000003,0.3690363787825515,0.8276626285956162,0.1209815250945598,0.022584442647690998,down,up,up,up
0.4690000000000003,0.3813576233219021,0.7700777837094102,0.1284128048728726,0.0246376434925998,down,up,up,up
0.4850000000000003,0.3927831834189633,0.7140975060663239,0.1360340590882768,0.026811264609458398,down,up,up,up
0.5,0.4039847129258849,0.7467686337947932,0.1433486880872478,0.0289610535306211,down,up,up,up
0.516,0.41567821219612006,0.7308437043896936,0.1513341192497011,0.0313765621944861,down,up,up,up
0.532,0.4271437570858208,0.7165965556062963,0.1595048227654338,0.033921319935776496,down,up,up,up
0.5470000000000002,0.4383157672619849,0.7448006784109333,0.1673346389744273,0.0364270342161718,down,up,up,up
0.5630000000000002,0.44993762513624885,0.7263661171414963,0.1758687938750904,0.0392307078841373,down,up,up,up
0.5779999999999998,0.461351984523196,0.7609572924631579,0.184042335723921,0.041984459673476096,down,up,up,up
0.5939999999999999,0.472133283283025,0.6738311724893137,0.192938345627848,0.0450583513294597,down,up,up,up
0.6099999999999999,0.48237208451549135,0.6399250770291459,0.2020025163317133,0.0482759244303056,down,up,up,up
0.6250000000000004,0.49241207706487705,0.6693328366256881,0.2106522673199513,0.051425253625039496,down,up,up,up
0.6410000000000005,0.5026436187389063,0.6394713546268299,0.2200408406478588,0.0549288446939513,down,up,up,up
0.6570000000000005,0.5131554982804012,0.6569924713434311,0.2295953613454905,0.058583980515067496,down,up,up,up
0.6720000000000002,0.5215577104207103,0.5601474760206198,0.2386945801871335,0.0621505733939084,down,up,up,up
0.6880000000000002,0.5298023512403596,0.5152900512280785,0.2485335884418993,0.0661064449481101,down,up,up,up
0.7029999999999998,0.539108418491729,0.6204044834246398,0.2578892889912747,0.06995903484620511,down,up,up,up
0.7189999999999999,0.5486922711253523,0.5989907896014607,0.2680198222696886,0.0742243539414622,down,up,up,up
0.7349999999999999,0.5573240235214367,0.5394845247552733,0.27829608038834014,0.07865292736789581,down,up,up,up
0.7500000000000004,0.5657865258705392,0.5641668232734791,0.28805827928516514,0.0829550033827936,down,up,up,up
0.7660000000000005,0.5741475717296058,0.5225653661916625,0.2986058798274435,0.0877063628608638,down,up,up,up
0.7820000000000005,0.5823366377420065,0.5118166257750407,0.30928588126469364,0.0926275431547703,down,up,up,up
0.7970000000000002,0.5906861184658716,0.5566320482576852,0.3194224217126374,0.09739727374444651,down,up,up,up
0.8130000000000002,0.5993213891649702,0.5397044186936646,0.33037060953516134,0.1026536641995983,down,up,up,up
0.8279999999999998,0.6067844401969378,0.4975367354645131,0.34075527303176034,0.1077415266361964,down,up,up,up
0.8439999999999999,0.6140765638251438,0.4557577267628728,0.35195028882541424,0.11334121733622311,down,up,up,up
0.8599999999999999,0.6208216551789256,0.4215682096113667,0.363257602338924,0.1191209266707072,down,up,up,up
0.8750000000000004,0.6269069206604492,0.4056843654348879,0.37395443643410464,0.1247044352788515,down,up,up,up
0.8910000000000005,0.6328840359987762,0.3735697086454378,0.38546089184885574,0.1308378041102845,down,up,up,up
0.9070000000000005,0.6417228223516336,0.5524241470535869,0.3970858744771362,0.1371562244460618,down,up,up,up
0.9220000000000002,0.6491495925757658,0.4951180149421562,0.40810628736547633,0.1432495839772276,down,up,up,up
0.9380000000000002,0.6564348446669293,0.4553282556977174,0.41997909062489513,0.14993231320632,down,up,up,up
0.9529999999999998,0.6629521341442643,0.4344859651556824,0.4312133627423637,0.1563706749239206,down,up,up,up
0.9689999999999999,0.6702141152335841,0.4538738180824838,0.4433068204988637,0.1634248825950198,down,up,up,up
0.9849999999999999,0.6758214928736592,0.3504611025046952,0.4555032331251989,0.1706734092291817,down,up,up,up
1.0000000000000004,0.6813191230003728,0.3665086751142234,0.46702065752063954,0.17764675672637198,down,up,up,up
1.0160000000000005,0.6874247621333645,0.381602445811979,0.4793987363631873,0.185276158082612,down,up,up,up
1.0320000000000005,0.6937683393708145,0.3964735773406277,0.4918764089366993,0.19310440545018048,down,up,up,up
