timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.0,0.0,0.0,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,1.907
0.014999999999999902,0.0,0.0,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,1.922
0.030999999999999917,0.0,0.3451573203936405,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,1.938
0.04699999999999993,0.0,0.33999822689900716,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,1.954
0.062000000000000055,0.0,0.3735342488465764,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,1.969
0.07800000000000007,0.0,0.307227532264975,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,1.985
0.09299999999999997,0.0,0.18922798699381888,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.0
0.10899999999999999,0.0,0.1917972256260113,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.016
0.125,0.0,0.09336089971589959,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.032
0.14000000000000012,0.0,0.2052028644695372,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.047
0.15600000000000014,0.0,0.20358648020979397,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.063
0.17200000000000015,0.0,0.3358085934928031,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.079
0.18699999999999983,0.0,0.3940478908487106,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.094
0.20299999999999985,0.0,0.3781038380652464,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.11
0.21799999999999997,0.0118164413707191,0.4228591202977193,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.125
0.23399999999999999,0.0121240927175048,0.23457670508841819,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.141
0.25,0.0105226992548033,0.11526140449547019,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.157
0.2650000000000001,0.0,0.11058797357744429,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.172
0.28100000000000014,0.0,0.1148985036394378,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.188
0.29700000000000015,0.0,0.2769182445065962,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.204
0.31199999999999983,0.0,0.27971723565415807,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.219
0.32799999999999985,0.010796052927187098,0.309180640305606,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.235
0.34299999999999997,0.013171239692553599,0.3736942802720802,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.25
0.359,0.0154880679959674,0.3601502648776785,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.266
0.375,0.0157461692297182,0.23147982302373887,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.282
0.3900000000000001,0.0150410213671055,0.16833863840679547,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,2.297
