timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction
0.0,0.0,-0.4599682410117803,0.0,0.0,up,down,down,down
0.016000000000000014,0.0067642388384053925,-0.4227649274003427,0.0011791729151401998,4.95715955324688e-05,up,down,down,down
0.03200000000000003,0.014928774891439206,-0.510283503314612,0.0024777760294119,0.00011896539930016881,up,down,down,down
0.04700000000000015,0.024459911190060496,-0.6354090865747437,0.0038279339916791003,0.0002038877984065688,up,down,down,down
0.06300000000000017,0.033785859432898094,-0.5828717651773502,0.005418959161095799,0.0003180011558400688,up,down,down,down
0.09399999999999986,0.0433965258946447,-0.3100214987660216,0.0087950879547616,0.0006160866722953689,up,down,down,down
0.10999999999999988,0.0528314228582171,-0.5896810602232788,0.0106899705492174,0.0008121053525385688,up,down,down,down
0.125,0.061805764377527994,-0.5982894346207196,0.0126044922701415,0.001024443397631969,up,down,down,down
0.14100000000000001,0.07268533029350799,-0.6799728697487456,0.014805480031942701,0.0012838613882599687,up,down,down,down
0.15700000000000003,0.08417563066179129,-0.7181437730177092,0.0171854267240181,0.0015799268545190687,up,down,down,down
0.17200000000000015,0.0954406310228535,-0.7510000240708038,0.0195872915033089,0.0018933518151721688,up,down,down,down
0.18800000000000017,0.1087823789291224,-0.8338592441418095,0.0223461345873577,0.002268957436108869,up,down,down,down
0.20400000000000018,0.1218391719794738,-0.8160495656469583,0.0253161659990594,0.0026903940530115687,up,down,down,down
0.21899999999999986,0.1346619399836388,-0.8548512002776877,0.0282946671554387,0.0031301048756183685,up,down,down,down
0.23499999999999988,0.1490476410081136,-0.8991063140296732,0.0316894028078057,0.0036501156475357687,up,down,down,down
0.25,0.1616842502472462,-0.8424406159421642,0.0350746348088768,0.004188475503608969,up,down,down,down
0.266,0.1740388807505724,-0.7721644064578863,0.0388854788612923,0.004820294625181769,up,down,down,down
0.28200000000000003,0.1863805687709163,-0.7713555012714972,0.042893893461897196,0.0055146678159785694,up,down,down,down
0.29700000000000015,0.20024293117691627,-0.92415749373332,0.0468483125281619,0.006225363934852169,up,down,down,down
0.31300000000000017,0.21381414868695892,-0.8482010943776644,0.0512858281715059,0.007050575272660869,up,down,down,down
0.3290000000000002,0.22733934131318628,-0.8453245391392131,0.0559401150959401,0.007948521031011868,up,down,down,down
0.34399999999999986,0.2422005844392529,-0.9907495417377962,0.060516407355739196,0.008859574523347569,up,down,down,down
0.3599999999999999,0.2564071333740756,-0.8879093084264148,0.0656303281026788,0.009908886619226268,up,down,down,down
0.375,0.2703351225258625,-0.928532610119122,0.0706356378385843,0.010968510937733869,up,down,down,down
0.391,0.2853616479334615,-0.9391578379749346,0.0762062710066919,0.012183384420707467,up,down,down,down
0.40700000000000003,0.2980633213709733,-0.7938545898444886,0.0819987297655604,0.013489162639096868,up,down,down,down
0.42200000000000015,0.3105456109379059,-0.8321526377954955,0.0876180395745329,0.014798917983095768,up,down,down,down
0.43800000000000017,0.3227831497290161,-0.7648461744443884,0.0938097286643013,0.016290478341217766,up,down,down,down
0.4540000000000002,0.3358146564408262,-0.8144691694881293,0.100203570118093,0.017882722943688267,up,down,down,down
0.46899999999999986,0.3486073498184918,-0.8528462251777277,0.1063914779816937,0.01946981537838477,up,down,down,down
0.4849999999999999,0.3610308158416497,-0.776466626447369,0.1131936423114078,0.021266634552940967,up,down,down,down
0.5,0.3732106844918057,-0.8119912433437244,0.1197551963805647,0.02305138041707897,up,down,down,down
0.516,0.3863323522953905,-0.8201042377240501,0.1269565996792953,0.02506521299776917,up,down,down,down
0.532,0.4006555768162201,-0.8952015325518473,0.1343775621166211,0.027196024504347868,up,down,down,down
0.5469999999999997,0.4146804302113853,-0.9349902263443692,0.1415473249859839,0.02930309073156557,up,down,down,down
0.5629999999999997,0.4273881140172602,-0.7942302378671766,0.1494089323442461,0.031670879002418766,up,down,down,down
0.5789999999999997,0.43982878441300954,-0.7775418997343346,0.1574717265361212,0.03416606248567307,up,down,down,down
0.5940000000000003,0.45203153748206937,-0.8135168712706241,0.1652154217669905,0.03662384567189467,up,down,down,down
0.6100000000000003,0.4625816840112087,-0.6593841580712073,0.1736573865433698,0.03937496635058887,up,down,down,down
0.625,0.474228091551506,-0.776427169353172,0.1817382026767459,0.04207806284368787,up,down,down,down
0.641,0.48561198939502503,-0.7114936152199374,0.1905419823287511,0.045096442535943165,up,down,down,down
0.657,0.49719590261643987,-0.7239945763384263,0.1995295044692758,0.04825715264253877,up,down,down,down
0.6719999999999997,0.5087352822585878,-0.7692919761432102,0.2081287311724942,0.05135221898380007,up,down,down,down
0.6879999999999997,0.5205781510409224,-0.7401792988959148,0.2174882976433233,0.054797293426538066,up,down,down,down
0.7039999999999997,0.5321985673498872,-0.7262760193103006,0.2270355703948828,0.05839362258305507,up,down,down,down
0.7190000000000003,0.541858309126944,-0.6439827851370924,0.2361457397851153,0.061905111983353266,up,down,down,down
0.7350000000000003,0.551951818471343,-0.6308443340249376,0.2460212798103346,0.06580258635232827,up,down,down,down
0.75,0.5618593409347721,-0.6605014975619524,0.2554296063225362,0.06960109757227287,up,down,down,down
0.766,0.571506195699218,-0.6029284227778703,0.2656215896200411,0.07380964535202487,up,down,down,down
0.782,0.5813180586904387,-0.6132414369512945,0.27596924265959144,0.07818251022247327,up,down,down,down
0.7969999999999997,0.5909473005096011,-0.6419494546108376,0.2858159756702474,0.08243352893389516,up,down,down,down
0.8129999999999997,0.6004538549773599,-0.5941596542349264,0.2964722439185761,0.08713197290281707,up,down,down,down
0.8289999999999997,0.6089411672027865,-0.530457014089158,0.3072724631004503,0.09200206877118067,up,down,down,down
