timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.0,0.113796,-0.3053853,9.8151012,0.0,2.0,0.0,0.0,1.0,0.0,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.235
0.015000000000000568,0.116739,-0.2858634,9.8151012,0.0,2.0,0.0,0.0,1.0,0.05889905565203435,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.25
0.030999999999998806,0.116739,-0.1990449,9.8764137,0.0,2.0,0.08662860325404491,0.0,1.0,0.12172256868726095,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.266
0.0470000000000006,0.1691243999999999,-0.1990449,9.806076,0.0,2.0,0.022889785756384805,0.0,1.0,0.18454348981649105,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.282
0.062000000000001165,0.1482291,-0.1930608,9.806076,0.0,2.0,0.022270250805152804,0.0,1.0,0.24343552613621,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.297
0.0779999999999994,0.1437165,-0.233478,9.7956774,0.0,2.0,0.039794901962824,0.0,1.0,0.3062508321714006,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.313
0.0940000000000012,0.1586277,-0.2230794,9.7956774,0.0,2.0,0.0402193551786248,0.0,1.0,0.36906309784210123,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.329
0.125,0.1542132,-0.2260224,9.8944641,0.0,2.0,0.029421676374312894,0.0,1.0,0.4907524130983205,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.36
0.14000000000000057,0.1542132,-0.2410317,9.788123700000002,0.0,2.0,0.055588451752277904,0.0,1.0,0.5496295428334577,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.375
0.1559999999999988,0.1706939999999999,-0.2410317,9.8674866,0.0,2.0,0.0656815399368088,0.0,1.0,0.6124280169392762,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.391
0.1720000000000006,0.1332198,-0.2350476,9.8674866,0.0112480128577417,2.0,0.0616037766616256,0.0,1.0,0.6752222032125559,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.407
0.18700000000000117,0.1332198,-0.315882,9.9243846,0.0145324987626055,2.0,0.1625311735828105,0.0,1.0,0.734087344290387,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.422
0.2029999999999994,0.1392039,-0.2559429,9.9093753,0.0173308596098814,2.0,0.1184629995466666,0.0,1.0,0.7968714052692576,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.438
0.23400000000000176,0.1392039,-0.2754648,9.9752985,0.021680837675480902,2.0,0.0838873196757486,0.0,1.0,0.9184968043406343,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.469
0.25,0.0733788,-0.2754648,9.9856971,0.026161140063115,2.0,0.2235843458190636,0.0,1.0,0.9812605197715243,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.485
0.26500000000000057,0.0973152,-0.3068568,9.9856971,0.0305594688553424,2.0,0.2367873660737146,0.0,1.0,1.0400937199802343,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.5
0.2809999999999988,0.1227231,-0.2994012,10.06506,0.0367865012822879,2.0,0.3327549732760427,0.0,1.0,1.102839583405725,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.516
0.2970000000000006,0.1227231,-0.3293217,10.1204865,0.0442354818554414,2.0,0.40912673241394193,0.0,1.0,1.1655740552803309,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.532
0.31200000000000117,0.1721655,-0.3293217,10.1009646,0.051044514949044405,2.0,0.397500986165421,0.0,1.0,1.2243756798891212,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.547
0.3440000000000012,0.1766781,-0.3353058,10.121958,0.058205846591182095,2.0,0.1673570604087063,0.0,1.0,1.3497741745234748,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,30.579
