timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,actual_timestamps
0.0,0.0,0.0134815619192707,0.0,0.0,down,up,up,up,2.188
0.01499999999999968,0.00021701759627569973,0.0144678397517124,0.0,0.0,down,up,up,up,2.203
0.030999999999999694,0.0007769257670312002,-0.0621214602066765,0.0,0.0,down,up,up,up,2.219
0.04699999999999971,0.0023508965737270996,-0.0983731754184979,0.0,0.0,down,up,up,up,2.235
0.06199999999999983,0.0036418565612948,-0.0860639991711776,7.272994046510911e-06,5.4547455300042735e-08,down,up,up,up,2.25
0.07799999999999985,0.0049340583983071,-0.0807626148132677,0.0,1.1273140770005907e-07,down,up,up,up,2.266
0.09399999999999986,0.0062461416771633,-0.0820052049285146,0.0,1.1273140770005907e-07,down,up,up,up,2.282
0.10899999999999999,0.0057502509668837,0.0330593806853108,0.0,1.1273140770005907e-07,down,up,up,up,2.297
0.125,0.0052532205299869,0.0310644023060468,0.0,1.1273140770005907e-07,down,up,up,up,2.313
0.13999999999999968,0.0063258782594122,-0.0715105152950235,0.0,1.1273140770005907e-07,down,up,up,up,2.328
0.1559999999999997,0.007460609436035856,-0.0709206985389786,0.0,1.1273140770005907e-07,down,up,up,up,2.344
0.1719999999999997,0.0085457584170427,-0.0678218113129291,0.0,1.1273140770005907e-07,down,up,up,up,2.36
0.18699999999999983,0.0077379293878578,0.0538552686123234,0.0,1.1273140770005907e-07,down,up,up,up,2.375
0.20299999999999985,0.0069459401435595,0.0494993277686539,0.0,1.1273140770005907e-07,down,up,up,up,2.391
0.21899999999999986,0.0061437439006138,0.0501372651841025,0.0,1.1273140770005907e-07,down,up,up,up,2.407
0.23399999999999999,0.0068319260605066,-0.0458788106595161,0.0,1.1273140770005907e-07,down,up,up,up,2.422
0.25,0.007533218085939072,-0.0438307515895352,0.0,1.1273140770005907e-07,down,up,up,up,2.438
0.2649999999999997,0.0069139364519231,0.0412854422677364,0.0,1.1273140770005907e-07,down,up,up,up,2.453
0.2809999999999997,0.0064436850727603,0.0293907111976743,0.0,1.1273140770005907e-07,down,up,up,up,2.469
0.2969999999999997,0.0059893297488358005,0.0283972077452787,0.0,1.1273140770005907e-07,down,up,up,up,2.485
0.31199999999999983,0.0059689965843077,0.0013555443018731,0.0,1.1273140770005907e-07,down,up,up,up,2.5
0.32799999999999985,0.006350808509108,-0.0238632453000153,0.0,1.1273140770005907e-07,down,up,up,up,2.516
0.34399999999999986,0.0067240541749563,-0.0233278541155179,0.0,1.1273140770005907e-07,down,up,up,up,2.532
0.359,0.0072956470580366,-0.038106192205352,0.0,1.1273140770005907e-07,down,up,up,up,2.547
0.375,0.0078560322375284,-0.0350240737182483,0.0,1.1273140770005907e-07,down,up,up,up,2.563
0.3899999999999997,0.0077586377751703,0.0064929641572084,0.0,1.1273140770005907e-07,down,up,up,up,2.578
0.4059999999999997,0.0076933368869393,0.0040813055144361,0.0,1.1273140770005907e-07,down,up,up,up,2.594
0.4219999999999997,0.0074058668107942,0.0179668797590792,0.0,1.1273140770005907e-07,down,up,up,up,2.61
0.43699999999999983,0.0077417380269579,-0.0223914144109232,0.0,1.1273140770005907e-07,down,up,up,up,2.625
0.45299999999999985,0.0080304435896998,-0.0180440976713658,0.0,1.1273140770005907e-07,down,up,up,up,2.641
0.46899999999999986,0.0065504998204613,0.092496485577409,0.0,1.1273140770005907e-07,down,up,up,up,2.657
0.484,0.0069232504334096005,-0.0248500408632184,0.0,1.1273140770005907e-07,down,up,up,up,2.672
0.5,0.0072695801828768,-0.0216456093417027,0.0,1.1273140770005907e-07,down,up,up,up,2.688
0.5149999999999997,0.0060278592443517,0.0827813959016783,0.0,1.1273140770005907e-07,down,up,up,up,2.703
0.5309999999999997,0.006665580559023,-0.0398575821669577,0.0,1.1273140770005907e-07,down,up,up,up,2.719
0.5469999999999997,0.0060278618021794,0.0398574223027247,0.0,1.1273140770005907e-07,down,up,up,up,2.735
0.5619999999999998,0.0054313096751138,0.0397701418043772,0.0,1.1273140770005907e-07,down,up,up,up,2.75
0.5779999999999998,0.0055801422783564,-0.0093020377026631,0.0,1.1273140770005907e-07,down,up,up,up,2.766
0.5939999999999999,0.0066426552438213,-0.0664070603415555,0.0,1.1273140770005907e-07,down,up,up,up,2.782
0.609,0.0076739100612268,-0.0687503211603744,0.0,1.1273140770005907e-07,down,up,up,up,2.797
0.625,0.0077705957554243,-0.0060428558873448,0.0,1.1273140770005907e-07,down,up,up,up,2.813
0.6399999999999997,0.0093096118998356,-0.1026010762940902,0.0,1.1273140770005907e-07,down,up,up,up,2.828
0.6559999999999997,0.0092264604739131,0.0051969641201576,0.0,1.1273140770005907e-07,down,up,up,up,2.844
0.6719999999999997,0.0091496032478292,0.0048035766302412,0.0,1.1273140770005907e-07,down,up,up,up,2.86
0.6869999999999998,0.009641045408862601,-0.0327628107355571,0.0,1.1273140770005907e-07,down,up,up,up,2.875
0.7029999999999998,0.0092333014676544,0.0254839963255148,0.0,1.1273140770005907e-07,down,up,up,up,2.891
0.7189999999999999,0.0088466199215897,0.0241675966290433,0.0,1.1273140770005907e-07,down,up,up,up,2.907
0.734,0.0094470838332618,-0.0400309274448078,0.0,1.1273140770005907e-07,down,up,up,up,2.922
0.75,0.0090050286789544,0.0276284471442122,0.0,1.1273140770005907e-07,down,up,up,up,2.938
0.7649999999999997,0.0085686344798663,0.0290929466058767,0.0,1.1273140770005907e-07,down,up,up,up,2.953
0.7809999999999997,0.007479209958153962,0.0680890326070215,0.0,1.1273140770005907e-07,down,up,up,up,2.969
0.7969999999999997,0.0071450300859191,0.0208862420146837,0.0,1.1273140770005907e-07,down,up,up,up,2.985
0.8119999999999998,0.0068351732718188,0.020657120940015,0.0,1.1273140770005907e-07,down,up,up,up,3.0
0.8279999999999998,0.0065595131305347,0.0172287588302566,0.0,1.1273140770005907e-07,down,up,up,up,3.016
