timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.0,0.1437165,-0.3742515,9.834525,0.0,0.0,0.0,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.078
0.015000000000000124,0.1287072,-0.3742515,9.8255979,0.0,0.0,0.014074329736035802,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.093
0.03100000000000014,0.0987867,-0.3353058,9.842078700000002,0.0,0.0,0.0,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.109
0.04700000000000015,0.1586277,-0.3517866,9.842078700000002,0.0,0.0,0.0,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.125
0.06200000000000028,0.1586277,-0.3517866,9.842078700000002,0.0,0.0,0.010515566980247498,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.14
0.07800000000000029,0.1586277,-0.3891627,9.8300124,0.0,0.0,0.0,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.156
0.0940000000000003,0.1317483,-0.3891627,9.9543051,0.0,0.0,0.1802155226541256,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.172
0.10899999999999999,0.1406754,-0.3652263,9.9543051,0.0,0.0,0.18703347934435688,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.187
0.125,0.1406754,-0.3607136999999999,9.9288972,0.0102284884257403,0.0,0.1305030697020814,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.203
0.14000000000000012,0.1556846999999999,-0.3458024999999999,10.0021779,0.0143388144868196,0.0,0.2551467359129493,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.218
0.15600000000000014,0.1556846999999999,-0.378666,10.0186587,0.0187795295977134,0.0,0.2586696929385289,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.234
0.17200000000000015,0.1346912999999999,-0.378666,10.1054772,0.0252203575798296,0.0,0.3836767473899269,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.25
0.18700000000000028,0.1346912999999999,-0.378666,10.1054772,0.0315040921965294,0.0,0.40004063962097647,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.265
0.2030000000000003,0.1302768,-0.3891627,10.1683593,0.0391753273878324,0.0,0.4605771979641067,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.281
0.2190000000000003,0.1302768,-0.3278502,10.1758149,0.0467885068635744,0.0,0.4569487157415338,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.297
0.23399999999999999,0.1497006,-0.3278502,10.2222162,0.0553535454786312,0.0,0.552127572844801,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.312
0.25,0.1497006,-0.3278502,10.2222162,0.0637096807128346,0.0,0.5033834506453779,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.328
0.2650000000000001,0.0987867,-0.3458024999999999,10.2222162,0.0718613426762661,0.0,0.5245691294030882,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.343
0.28100000000000014,0.0987867,-0.3458024999999999,10.2746016,0.08109109031781249,0.0,0.5579842261043129,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.359
0.29700000000000015,0.1616688,-0.3458024999999999,10.4302863,0.0939097577589772,0.0,0.7822917135804625,0.0,0.0,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.375
0.3120000000000003,,,,0.1064083584282701,,0.8143650431271823,0.0,,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.39
0.3280000000000003,,,,0.1208827355559217,,0.8857735689858918,0.0,,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.406
0.3440000000000003,,,,0.13351596557844822,,0.7707018749155686,0.0,,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.422
0.359,,,,0.1466272920441723,,0.8552134295559568,0.010285957291936,,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.437
0.375,,,,0.1594251849647427,,0.7809933060433089,0.0126693636103107,,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.453
0.3900000000000001,,,,0.1754508758997576,,1.049504394175318,0.0151199839127039,,0.0,down,up,up,up,0.0188750014923355,-0.0040633436060399,0.0,-3.401994825487704e-05,3.468
